source_name,source_category,local_xml_url,xml_url,feed_url,error_message,error_type
图书推荐 – 书伴,SocialMedia,http://127.0.0.1:1200/bookfere/books,https://macmini-rsshub.tail99ecfa.ts.net/bookfere/books,http://host.docker.internal:1200/bookfere/books,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
最新发布_共产党员网,党政信息,http://127.0.0.1:1200/12371/zxfb,https://macmini-rsshub.tail99ecfa.ts.net/12371/zxfb,http://host.docker.internal:1200/12371/zxfb,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
一觉醒来发生了什么 - 即刻圈子,国内外资讯,http://127.0.0.1:1200/jike/topic/553870e8e4b0cafb0a1bef68,https://macmini-rsshub.tail99ecfa.ts.net/jike/topic/553870e8e4b0cafb0a1bef68,http://host.docker.internal:1200/jike/topic/553870e8e4b0cafb0a1bef68,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
- 政府文件库,国内政策,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zhengceku/bmwj,http://host.docker.internal:1200/gov/zhengce/zhengceku/bmwj,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
猴猴说话,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom,http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom,http://host.docker.internal:8003/feed/MP_WXS_3279284299.atom,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
小宇宙 Podcast 643928f99361a4e7c38a9555,播客,http://127.0.0.1:1200/xiaoyuzhou/podcast/643928f99361a4e7c38a9555,https://macmini-rsshub.tail99ecfa.ts.net/xiaoyuzhou/podcast/643928f99361a4e7c38a9555,http://host.docker.internal:1200/xiaoyuzhou/podcast/643928f99361a4e7c38a9555,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
波士顿圆脸,最娱乐,http://127.0.0.1:1200/bilibili/user/video/346563107,https://macmini-rsshub.tail99ecfa.ts.net/bilibili/user/video/346563107,http://host.docker.internal:1200/bilibili/user/video/346563107,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
飞鸟手札,短知识,http://127.0.0.1:1200/bilibili/user/video/1366786686,https://macmini-rsshub.tail99ecfa.ts.net/bilibili/user/video/1366786686,http://host.docker.internal:1200/bilibili/user/video/1366786686,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
猫眼看足球,绝活娱乐,http://127.0.0.1:1200/bilibili/user/video/456249922,https://macmini-rsshub.tail99ecfa.ts.net/bilibili/user/video/456249922,http://host.docker.internal:1200/bilibili/user/video/456249922,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
你不知道的行业内幕 - 即刻圈子,资讯,http://127.0.0.1:1200/jike/topic/5699f451d3e8351200bffdc8,https://macmini-rsshub.tail99ecfa.ts.net/jike/topic/5699f451d3e8351200bffdc8,http://host.docker.internal:1200/jike/topic/5699f451d3e8351200bffdc8,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
AliAbdaal,长知识,http://127.0.0.1:1200/bilibili/user/video/3546581580122806,https://macmini-rsshub.tail99ecfa.ts.net/bilibili/user/video/3546581580122806,http://host.docker.internal:1200/bilibili/user/video/3546581580122806,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
每周一书 – 书伴,SocialMedia,http://127.0.0.1:1200/bookfere/weekly,https://macmini-rsshub.tail99ecfa.ts.net/bookfere/weekly,http://host.docker.internal:1200/bookfere/weekly,"{""detail"": ""<urlopen error [Errno 8] nodename nor servname provided, or not known>""}",network_error
