source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message
"{""feed_url"": ""https://diygod.cc/feed"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""Articles"", ""source_name"": ""Hi, DIYgod"", ""xml_url"": ""https://diygod.cc/feed""}",1,"Hi, DIYgod",Articles,,https://diygod.cc/feed,https://diygod.cc/feed,docker-host,True,success,3,0,3,0,2,unknown,2,0,1,0,,
"{""feed_url"": ""https://tanscp.com/feed/"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""Articles"", ""source_name"": ""tanscp"", ""xml_url"": ""https://tanscp.com/feed/""}",2,tanscp,Articles,,https://tanscp.com/feed/,https://tanscp.com/feed/,docker-host,True,success,3,0,3,0,3,unknown,3,0,0,0,,
"{""feed_url"": ""https://ursb.me/blog/feed.xml"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""Articles"", ""source_name"": ""Airing 的博客"", ""xml_url"": ""https://ursb.me/blog/feed.xml""}",3,Airing 的博客,Articles,,https://ursb.me/blog/feed.xml,https://ursb.me/blog/feed.xml,docker-host,True,success,3,0,3,0,2,unknown,2,0,1,0,,
"{""feed_url"": ""https://rolen.wiki/feed/"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""个人博客-人生"", ""source_name"": ""Rolen's Blog"", ""xml_url"": ""https://rolen.wiki/feed/""}",4,Rolen's Blog,个人博客-人生,,https://rolen.wiki/feed/,https://rolen.wiki/feed/,docker-host,True,success,3,0,3,0,0,unknown,1,0,2,0,,
"{""feed_url"": ""https://bens.love/feed"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""个人博客-人生"", ""source_name"": ""Ben's Love"", ""xml_url"": ""https://bens.love/feed""}",5,Ben's Love,个人博客-人生,,https://bens.love/feed,https://bens.love/feed,docker-host,True,success,3,0,3,0,1,unknown,1,0,2,0,,
"{""feed_url"": ""https://mobius.blog/feed/"", ""local_xml_url"": """", ""row_index"": 7, ""source_category"": ""个人博客-人生"", ""source_name"": ""莫比乌斯"", ""xml_url"": ""https://mobius.blog/feed/""}",6,莫比乌斯,个人博客-人生,,https://mobius.blog/feed/,https://mobius.blog/feed/,docker-host,True,success,3,0,3,0,1,unknown,3,0,0,0,,
"{""feed_url"": ""https://blog.bxaw.name/feed/"", ""local_xml_url"": """", ""row_index"": 8, ""source_category"": ""个人博客-人生"", ""source_name"": ""白熊阿丸的小屋"", ""xml_url"": ""https://blog.bxaw.name/feed/""}",7,白熊阿丸的小屋,个人博客-人生,,https://blog.bxaw.name/feed/,https://blog.bxaw.name/feed/,docker-host,True,success,3,0,3,0,2,unknown,3,0,0,0,,
"{""feed_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml"", ""local_xml_url"": """", ""row_index"": 9, ""source_category"": ""个人博客-人生"", ""source_name"": ""草稿拾遗"", ""xml_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml""}",8,草稿拾遗,个人博客-人生,,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,docker-host,True,success,3,0,3,0,1,unknown,3,0,0,0,,
"{""feed_url"": ""https://2890.ltd/feed/"", ""local_xml_url"": """", ""row_index"": 10, ""source_category"": ""Articles"", ""source_name"": ""Paradise Lost"", ""xml_url"": ""https://2890.ltd/feed/""}",9,Paradise Lost,Articles,,https://2890.ltd/feed/,https://2890.ltd/feed/,docker-host,True,success,3,0,3,0,1,unknown,1,0,2,0,,
"{""feed_url"": ""https://www.cnfeat.com/feed.xml"", ""local_xml_url"": """", ""row_index"": 11, ""source_category"": ""Articles"", ""source_name"": ""笨方法学写作"", ""xml_url"": ""https://www.cnfeat.com/feed.xml""}",10,笨方法学写作,Articles,,https://www.cnfeat.com/feed.xml,https://www.cnfeat.com/feed.xml,docker-host,True,success,3,0,3,0,0,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/douban/group/699356/essence"", ""local_xml_url"": ""http://127.0.0.1:1200/douban/group/699356/essence"", ""row_index"": 12, ""source_category"": ""Articles"", ""source_name"": ""豆瓣小组-无用美学"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence""}",11,豆瓣小组-无用美学,Articles,http://127.0.0.1:1200/douban/group/699356/essence,https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence,http://host.docker.internal:1200/douban/group/699356/essence,docker-host,True,success,3,2,1,2,1,unknown,0,0,3,0,,
"{""feed_url"": ""https://www.yuhenm.top/feed/"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""Articles"", ""source_name"": ""StarYuhen"", ""xml_url"": ""https://www.yuhenm.top/feed/""}",12,StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,docker-host,True,skipped_known_failed,0,0,0,0,0,unknown,0,0,0,0,skipped_known_failed,Skipped because this source already failed in a prior run.
"{""feed_url"": ""http://host.docker.internal:1200/sspai/index"", ""local_xml_url"": ""http://127.0.0.1:1200/sspai/index"", ""row_index"": 14, ""source_category"": ""优质信息源"", ""source_name"": ""少数派"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/sspai/index""}",13,少数派,优质信息源,http://127.0.0.1:1200/sspai/index,https://macmini-rsshub.tail99ecfa.ts.net/sspai/index,http://host.docker.internal:1200/sspai/index,docker-host,True,success,3,0,3,0,0,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/sspai/matrix"", ""local_xml_url"": ""http://127.0.0.1:1200/sspai/matrix"", ""row_index"": 15, ""source_category"": ""优质信息源"", ""source_name"": ""少数派 -- Matrix"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/sspai/matrix""}",14,少数派 -- Matrix,优质信息源,http://127.0.0.1:1200/sspai/matrix,https://macmini-rsshub.tail99ecfa.ts.net/sspai/matrix,http://host.docker.internal:1200/sspai/matrix,docker-host,True,success,3,0,3,0,1,unknown,1,0,2,0,,
"{""feed_url"": ""https://www.experimental-history.com/feed"", ""local_xml_url"": """", ""row_index"": 16, ""source_category"": ""Articles"", ""source_name"": ""Experimental History"", ""xml_url"": ""https://www.experimental-history.com/feed""}",15,Experimental History,Articles,,https://www.experimental-history.com/feed,https://www.experimental-history.com/feed,docker-host,True,success,3,0,3,0,2,unknown,2,0,1,0,,
"{""feed_url"": ""https://www.remoteworkprep.com/blog?format=rss"", ""local_xml_url"": """", ""row_index"": 17, ""source_category"": ""Articles"", ""source_name"": ""Blog - Remote Work Prep"", ""xml_url"": ""https://www.remoteworkprep.com/blog?format=rss""}",16,Blog - Remote Work Prep,Articles,,https://www.remoteworkprep.com/blog?format=rss,https://www.remoteworkprep.com/blog?format=rss,docker-host,True,success,3,0,3,0,2,unknown,3,0,0,0,,
