source_name,source_category,local_xml_url,xml_url,feed_url,error_message,error_type
StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,"{""detail"": ""HTTP Error 403: Forbidden""}",unknown
今日热榜,Articles,,https://web2rss.cc/feed/rebang.today?preview=true,https://web2rss.cc/feed/rebang.today?preview=true,"{""detail"": ""<urlopen error [Errno -2] Name or service not known>""}",network_error
刘夙的科技世界,社评,,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,"{""detail"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)""}",feed_parse_error
时代观察 - 乌有之乡网刊,社评,http://127.0.0.1:1200/wyzxwk/article,https://macmini-rsshub.tail99ecfa.ts.net/wyzxwk/article,http://host.docker.internal:1200/wyzxwk/article,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
东西智库 – 专注中国制造业高质量发展,国内外资讯,http://127.0.0.1:1200/dx2025,https://macmini-rsshub.tail99ecfa.ts.net/dx2025,http://host.docker.internal:1200/dx2025,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
中国政府网 - 最新政策,国内政策,http://127.0.0.1:1200/gov/zhengce/zuixin,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zuixin,http://host.docker.internal:1200/gov/zhengce/zuixin,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
偷懒爱好者周刊,Articles,,https://toolight.cn/open/p/weekly/atom.xml,https://toolight.cn/open/p/weekly/atom.xml,"{""detail"": ""HTTP Error 404: Not Found""}",unknown
信息差——独立开发者出海周刊,Articles,,https://gapis.money/rss.xml,https://gapis.money/rss.xml,"{""detail"": ""failed to parse feed: <unknown>:28:5120: not well-formed (invalid token)""}",feed_parse_error
周刊 归档 - 酷口家数字花园,Articles,,https://weqoocu.com/feed,https://weqoocu.com/feed,"{""detail"": ""HTTP Error 403: Forbidden""}",unknown
歸藏的AI工具箱,Articles,,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,"{""detail"": ""<urlopen error _ssl.c:999: The handshake operation timed out>""}",timeout
学习一下订阅源,Articles,http://127.0.0.1:1200/follow/profile/158883963341209600,https://macmini-rsshub.tail99ecfa.ts.net/follow/profile/158883963341209600,http://host.docker.internal:1200/follow/profile/158883963341209600,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
机器之心,Articles,,https://www.jiqizhixin.com/rss,https://www.jiqizhixin.com/rss,"{""detail"": ""failed to parse feed: <unknown>:12:244: mismatched tag""}",feed_parse_error
腾讯研究院,Articles,,https://wechat2rss.bestblogs.dev/feed/6152301e0978bffb0a8284cab339262b9764dcfb.xml,https://wechat2rss.bestblogs.dev/feed/6152301e0978bffb0a8284cab339262b9764dcfb.xml,"{""detail"": ""<urlopen error _ssl.c:999: The handshake operation timed out>""}",timeout
clem &#129303;(@ClementDelangue),SocialMedia,,https://api.xgo.ing/rss/user/5dbd038a8f5140938d0877511571797b,https://api.xgo.ing/rss/user/5dbd038a8f5140938d0877511571797b,"{""detail"": ""<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>""}",network_error
Twitter @Tom Huang,SocialMedia,http://127.0.0.1:1200/twitter/user/tuturetom,https://macmini-rsshub.tail99ecfa.ts.net/twitter/user/tuturetom,http://host.docker.internal:1200/twitter/user/tuturetom,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Twitter @Tw93,SocialMedia,http://127.0.0.1:1200/twitter/user/HiTw93,https://macmini-rsshub.tail99ecfa.ts.net/twitter/user/HiTw93,http://host.docker.internal:1200/twitter/user/HiTw93,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Twitter @ginobefun,SocialMedia,http://127.0.0.1:1200/twitter/user/hongming731,https://macmini-rsshub.tail99ecfa.ts.net/twitter/user/hongming731,http://host.docker.internal:1200/twitter/user/hongming731,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Twitter @Theo - t3.gg,SocialMedia,http://127.0.0.1:1200/twitter/user/theo,https://macmini-rsshub.tail99ecfa.ts.net/twitter/user/theo,http://host.docker.internal:1200/twitter/user/theo,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Twitter @Pietro Schirano,SocialMedia,http://127.0.0.1:1200/twitter/user/skirano,https://macmini-rsshub.tail99ecfa.ts.net/twitter/user/skirano,http://host.docker.internal:1200/twitter/user/skirano,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
NASA中文 - 天文·每日一图,星空,http://127.0.0.1:1200/nasa/apod-cn,https://macmini-rsshub.tail99ecfa.ts.net/nasa/apod-cn,http://host.docker.internal:1200/nasa/apod-cn,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
司机社综合周排行榜,Videos,http://127.0.0.1:1200/xsijishe/rank/weekly,https://macmini-rsshub.tail99ecfa.ts.net/xsijishe/rank/weekly,http://host.docker.internal:1200/xsijishe/rank/weekly,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
司机社综合月排行榜,Videos,http://127.0.0.1:1200/xsijishe/rank/monthly,https://macmini-rsshub.tail99ecfa.ts.net/xsijishe/rank/monthly,http://host.docker.internal:1200/xsijishe/rank/monthly,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Andrej Karpathy - YouTube,Videos,http://127.0.0.1:1200/youtube/user/@AndrejKarpathy,https://macmini-rsshub.tail99ecfa.ts.net/youtube/user/@AndrejKarpathy,http://host.docker.internal:1200/youtube/user/@AndrejKarpathy,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
Lex Fridman - YouTube,Videos,http://127.0.0.1:1200/youtube/user/%40lexfridman,https://macmini-rsshub.tail99ecfa.ts.net/youtube/user/%40lexfridman,http://host.docker.internal:1200/youtube/user/%40lexfridman,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
dfarq.homeip.net,英文博客,,https://dfarq.homeip.net/feed/,https://dfarq.homeip.net/feed/,"{""detail"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)""}",feed_parse_error
blog.pixelmelt.dev,英文博客,,https://blog.pixelmelt.dev/rss/,https://blog.pixelmelt.dev/rss/,"{""detail"": ""HTTP Error 530: <none>""}",unknown
tedunangst.com,英文博客,,https://www.tedunangst.com/flak/rss,https://www.tedunangst.com/flak/rss,"{""detail"": ""<urlopen error _ssl.c:999: The handshake operation timed out>""}",timeout
