source_name,source_category,local_xml_url,xml_url,feed_url,error_message,error_type
StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,"{""detail"": ""HTTP Error 403: Forbidden""}",unknown
今日热榜,Articles,,https://web2rss.cc/feed/rebang.today?preview=true,https://web2rss.cc/feed/rebang.today?preview=true,"{""detail"": ""<urlopen error [Errno -2] Name or service not known>""}",network_error
刘夙的科技世界,社评,,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,"{""detail"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)""}",feed_parse_error
时代观察 - 乌有之乡网刊,社评,http://127.0.0.1:1200/wyzxwk/article,https://macmini-rsshub.tail99ecfa.ts.net/wyzxwk/article,http://host.docker.internal:1200/wyzxwk/article,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
东西智库 – 专注中国制造业高质量发展,国内外资讯,http://127.0.0.1:1200/dx2025,https://macmini-rsshub.tail99ecfa.ts.net/dx2025,http://host.docker.internal:1200/dx2025,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
中国政府网 - 最新政策,国内政策,http://127.0.0.1:1200/gov/zhengce/zuixin,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zuixin,http://host.docker.internal:1200/gov/zhengce/zuixin,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
偷懒爱好者周刊,Articles,,https://toolight.cn/open/p/weekly/atom.xml,https://toolight.cn/open/p/weekly/atom.xml,"{""detail"": ""HTTP Error 404: Not Found""}",unknown
信息差——独立开发者出海周刊,Articles,,https://gapis.money/rss.xml,https://gapis.money/rss.xml,"{""detail"": ""failed to parse feed: <unknown>:28:5120: not well-formed (invalid token)""}",feed_parse_error
歸藏的AI工具箱,Articles,,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,"{""detail"": ""HTTP Error 500: Internal Server Error""}",content_inbox_error
学习一下订阅源,Articles,http://127.0.0.1:1200/follow/profile/158883963341209600,https://macmini-rsshub.tail99ecfa.ts.net/follow/profile/158883963341209600,http://host.docker.internal:1200/follow/profile/158883963341209600,"{""detail"": ""HTTP Error 503: Service Unavailable""}",rsshub_503
机器之心,Articles,,https://www.jiqizhixin.com/rss,https://www.jiqizhixin.com/rss,"{""detail"": ""<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)>""}",network_error
