source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,incremental_mode,incremental_decision,source_has_history,probe_limit,feed_items_seen,anchor_found,anchor_index,selected_items_for_processing,incremental_warning,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,llm_screen_and_match_seconds,screening_mode,llm_call_count,embedding_seconds,lock_wait_seconds,lock_held_seconds,pre_dedupe_lock_wait_seconds,pre_dedupe_lock_held_seconds,commit_lock_wait_seconds,commit_lock_held_seconds,source_total_seconds
"{""feed_url"": ""https://diygod.cc/feed"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""Articles"", ""source_name"": ""Hi, DIYgod"", ""xml_url"": ""https://diygod.cc/feed""}",1,"Hi, DIYgod",Articles,,https://diygod.cc/feed,https://diygod.cc/feed,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.985,,,,merged,,,0,0,0,0,0,0,1.073
"{""feed_url"": ""https://tanscp.com/feed/"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""Articles"", ""source_name"": ""tanscp"", ""xml_url"": ""https://tanscp.com/feed/""}",2,tanscp,Articles,,https://tanscp.com/feed/,https://tanscp.com/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.199,,,,merged,,,0,0,0,0,0,0,0.216
"{""feed_url"": ""https://ursb.me/blog/feed.xml"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""Articles"", ""source_name"": ""Airing 的博客"", ""xml_url"": ""https://ursb.me/blog/feed.xml""}",3,Airing 的博客,Articles,,https://ursb.me/blog/feed.xml,https://ursb.me/blog/feed.xml,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.544,,,,merged,,,0,0,0,0,0,0,1.623
"{""feed_url"": ""https://rolen.wiki/feed/"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""个人博客-人生"", ""source_name"": ""Rolen's Blog"", ""xml_url"": ""https://rolen.wiki/feed/""}",4,Rolen's Blog,个人博客-人生,,https://rolen.wiki/feed/,https://rolen.wiki/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,2.822,,,,merged,,,0,0,0,0,0,0,2.842
"{""feed_url"": ""https://bens.love/feed"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""个人博客-人生"", ""source_name"": ""Ben's Love"", ""xml_url"": ""https://bens.love/feed""}",5,Ben's Love,个人博客-人生,,https://bens.love/feed,https://bens.love/feed,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.38,,,,merged,,,0,0,0,0,0,0,1.402
"{""feed_url"": ""https://mobius.blog/feed/"", ""local_xml_url"": """", ""row_index"": 7, ""source_category"": ""个人博客-人生"", ""source_name"": ""莫比乌斯"", ""xml_url"": ""https://mobius.blog/feed/""}",6,莫比乌斯,个人博客-人生,,https://mobius.blog/feed/,https://mobius.blog/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.877,,,,merged,,,0,0,0,0,0,0,1.917
"{""feed_url"": ""https://blog.bxaw.name/feed/"", ""local_xml_url"": """", ""row_index"": 8, ""source_category"": ""个人博客-人生"", ""source_name"": ""白熊阿丸的小屋"", ""xml_url"": ""https://blog.bxaw.name/feed/""}",7,白熊阿丸的小屋,个人博客-人生,,https://blog.bxaw.name/feed/,https://blog.bxaw.name/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.421,,,,merged,,,0,0,0,0,0,0,1.447
"{""feed_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml"", ""local_xml_url"": """", ""row_index"": 9, ""source_category"": ""个人博客-人生"", ""source_name"": ""草稿拾遗"", ""xml_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml""}",8,草稿拾遗,个人博客-人生,,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,docker-host,True,failed,,,,,,,,,,0,0,0,0,0,unknown,0,0,0,0,rate_limit,"{""detail"": ""HTTP Error 429: Too Many Requests""}",,,,,,,,0,0,0,0,0,0,
"{""feed_url"": ""https://2890.ltd/feed/"", ""local_xml_url"": """", ""row_index"": 10, ""source_category"": ""Articles"", ""source_name"": ""Paradise Lost"", ""xml_url"": ""https://2890.ltd/feed/""}",9,Paradise Lost,Articles,,https://2890.ltd/feed/,https://2890.ltd/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,2.072,,,,merged,,,0,0,0,0,0,0,2.099
"{""feed_url"": ""https://www.cnfeat.com/feed.xml"", ""local_xml_url"": """", ""row_index"": 11, ""source_category"": ""Articles"", ""source_name"": ""笨方法学写作"", ""xml_url"": ""https://www.cnfeat.com/feed.xml""}",10,笨方法学写作,Articles,,https://www.cnfeat.com/feed.xml,https://www.cnfeat.com/feed.xml,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.655,,,,merged,,,0,0,0,0,0,0,0.674
"{""feed_url"": ""https://www.yuhenm.top/feed/"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""Articles"", ""source_name"": ""StarYuhen"", ""xml_url"": ""https://www.yuhenm.top/feed/""}",11,StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,docker-host,True,failed,,,,,,,,,,0,0,0,0,0,unknown,0,0,0,0,unknown,"{""detail"": ""HTTP Error 403: Forbidden""}",,,,,,,,0,0,0,0,0,0,
"{""feed_url"": ""https://www.experimental-history.com/feed"", ""local_xml_url"": """", ""row_index"": 16, ""source_category"": ""Articles"", ""source_name"": ""Experimental History"", ""xml_url"": ""https://www.experimental-history.com/feed""}",12,Experimental History,Articles,,https://www.experimental-history.com/feed,https://www.experimental-history.com/feed,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.672,,,,merged,,,0,0,0,0,0,0,0.802
"{""feed_url"": ""https://www.remoteworkprep.com/blog?format=rss"", ""local_xml_url"": """", ""row_index"": 17, ""source_category"": ""Articles"", ""source_name"": ""Blog - Remote Work Prep"", ""xml_url"": ""https://www.remoteworkprep.com/blog?format=rss""}",13,Blog - Remote Work Prep,Articles,,https://www.remoteworkprep.com/blog?format=rss,https://www.remoteworkprep.com/blog?format=rss,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,16.569,,,,merged,,,0,0,0,0,0,0,16.636
"{""feed_url"": ""https://www.eva-all.com/news/feed/"", ""local_xml_url"": """", ""row_index"": 18, ""source_category"": ""Articles"", ""source_name"": ""EVANGELION:ALL"", ""xml_url"": ""https://www.eva-all.com/news/feed/""}",14,EVANGELION:ALL,Articles,,https://www.eva-all.com/news/feed/,https://www.eva-all.com/news/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,2.363,,,,merged,,,0,0,0,0,0,0,2.393
"{""feed_url"": ""https://51cg1.com/feed/"", ""local_xml_url"": """", ""row_index"": 20, ""source_category"": ""其他"", ""source_name"": ""51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台"", ""xml_url"": ""https://51cg1.com/feed/""}",15,51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,其他,,https://51cg1.com/feed/,https://51cg1.com/feed/,docker-host,True,failed,,,,,,,,,,0,0,0,0,0,unknown,0,0,0,0,network_error,"{""detail"": ""<urlopen error [Errno 101] Network is unreachable>""}",,,,,,,,0,0,0,0,0,0,
"{""feed_url"": ""https://web2rss.cc/feed/rebang.today?preview=true"", ""local_xml_url"": """", ""row_index"": 21, ""source_category"": ""Articles"", ""source_name"": ""今日热榜"", ""xml_url"": ""https://web2rss.cc/feed/rebang.today?preview=true""}",16,今日热榜,Articles,,https://web2rss.cc/feed/rebang.today?preview=true,https://web2rss.cc/feed/rebang.today?preview=true,docker-host,True,failed,,,,,,,,,,0,0,0,0,0,unknown,0,0,0,0,network_error,"{""detail"": ""<urlopen error [Errno -2] Name or service not known>""}",,,,,,,,0,0,0,0,0,0,
"{""feed_url"": ""https://www.usmacd.com/atom.xml"", ""local_xml_url"": """", ""row_index"": 22, ""source_category"": ""Articles"", ""source_name"": ""安全代码"", ""xml_url"": ""https://www.usmacd.com/atom.xml""}",17,安全代码,Articles,,https://www.usmacd.com/atom.xml,https://www.usmacd.com/atom.xml,docker-host,True,success,until_existing,new_source_initial_baseline,False,20,10,False,,5,New source: processing first 5 items as initial baseline (new_source_initial_limit=5).,5,5,0,5,3,unknown,2,0,3,0,,,1.789,,,72.607,merged,5.0,6.711,1.598,6.911,0.012,0.006,1.586,6.905,82.954
"{""feed_url"": ""https://lawtee.com/index.xml"", ""local_xml_url"": """", ""row_index"": 23, ""source_category"": ""Articles"", ""source_name"": ""老T博客"", ""xml_url"": ""https://lawtee.com/index.xml""}",18,老T博客,Articles,,https://lawtee.com/index.xml,https://lawtee.com/index.xml,docker-host,True,success,until_existing,new_source_initial_baseline,False,20,5,False,,5,New source: processing first 5 items as initial baseline (new_source_initial_limit=5).,5,5,0,5,1,unknown,1,0,5,0,,,0.794,,,69.351,merged,4.0,2.281,3.176,2.434,0.01,0.008,3.166,2.426,91.238
"{""feed_url"": ""https://www.appinn.com/feed/"", ""local_xml_url"": """", ""row_index"": 24, ""source_category"": ""科技与编程"", ""source_name"": ""小众软件"", ""xml_url"": ""https://www.appinn.com/feed/""}",19,小众软件,科技与编程,,https://www.appinn.com/feed/,https://www.appinn.com/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.12,,,,merged,,,0,0,0,0,0,0,0.154
"{""feed_url"": ""http://host.docker.internal:1200/hellogithub/volume"", ""local_xml_url"": ""http://127.0.0.1:1200/hellogithub/volume"", ""row_index"": 25, ""source_category"": ""科技与编程"", ""source_name"": ""HelloGithub - 月刊"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/hellogithub/volume""}",20,HelloGithub - 月刊,科技与编程,http://127.0.0.1:1200/hellogithub/volume,https://macmini-rsshub.tail99ecfa.ts.net/hellogithub/volume,http://host.docker.internal:1200/hellogithub/volume,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.231,,,,merged,,,0,0,0,0,0,0,1.322
"{""feed_url"": ""https://s.baoyu.io/feed.xml"", ""local_xml_url"": """", ""row_index"": 26, ""source_category"": ""科技与编程"", ""source_name"": ""宝玉的分享"", ""xml_url"": ""https://s.baoyu.io/feed.xml""}",21,宝玉的分享,科技与编程,,https://s.baoyu.io/feed.xml,https://s.baoyu.io/feed.xml,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,1.172,,,,merged,,,0,0,0,0,0,0,1.183
"{""feed_url"": ""https://feeds.feedburner.com/ruanyifeng"", ""local_xml_url"": """", ""row_index"": 27, ""source_category"": ""科技与编程"", ""source_name"": ""阮一峰的网络日志"", ""xml_url"": ""https://feeds.feedburner.com/ruanyifeng""}",22,阮一峰的网络日志,科技与编程,,https://feeds.feedburner.com/ruanyifeng,https://feeds.feedburner.com/ruanyifeng,docker-host,True,failed,,,,,,,,,,0,0,0,0,0,unknown,0,0,0,0,timeout,"{""detail"": ""<urlopen error timed out>""}",,,,,,,,0,0,0,0,0,0,
"{""feed_url"": ""https://www.ftium4.com/rss.xml"", ""local_xml_url"": """", ""row_index"": 28, ""source_category"": ""科技与编程"", ""source_name"": ""龙爪槐守望者"", ""xml_url"": ""https://www.ftium4.com/rss.xml""}",23,龙爪槐守望者,科技与编程,,https://www.ftium4.com/rss.xml,https://www.ftium4.com/rss.xml,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.258,,,,merged,,,0,0,0,0,0,0,0.282
"{""feed_url"": ""https://tool.bcrjl.com/snzy-rss/"", ""local_xml_url"": """", ""row_index"": 29, ""source_category"": ""科技与编程"", ""source_name"": ""十年之约聚合订阅"", ""xml_url"": ""https://tool.bcrjl.com/snzy-rss/""}",24,十年之约聚合订阅,科技与编程,,https://tool.bcrjl.com/snzy-rss/,https://tool.bcrjl.com/snzy-rss/,docker-host,True,success,until_existing,old_source_no_anchor,True,20,20,False,,20,"This source has history in DB but no existing item was found within probe_limit=20. Processing first 20 items (old_source_no_anchor_limit=20). Possible causes: high-frequency updates, guid/url changes, RSSHub route changes, or dedupe rule changes.",20,20,0,20,2,unknown,4,0,18,0,,,0.466,,,319.041,merged,20.0,6.413,21.905,6.929,8.167,0.047,13.738,6.882,348.39
"{""feed_url"": ""https://rss.utgd.net/feed/"", ""local_xml_url"": """", ""row_index"": 30, ""source_category"": ""科技与编程"", ""source_name"": ""#UNTAG"", ""xml_url"": ""https://rss.utgd.net/feed/""}",25,#UNTAG,科技与编程,,https://rss.utgd.net/feed/,https://rss.utgd.net/feed/,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,2,True,1,1,,1,1,0,1,0,unknown,0,0,1,0,,,0.215,,,12.397,merged,1.0,,0,0.017,0,0.001,0,0.016,12.649
"{""feed_url"": ""https://weekly.love/feed/atom"", ""local_xml_url"": """", ""row_index"": 31, ""source_category"": ""科技与编程"", ""source_name"": ""混沌周刊"", ""xml_url"": ""https://weekly.love/feed/atom""}",26,混沌周刊,科技与编程,,https://weekly.love/feed/atom,https://weekly.love/feed/atom,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,4.556,,,,merged,,,0,0,0,0,0,0,4.603
"{""feed_url"": ""https://channel.ccino.org/rss.xml"", ""local_xml_url"": """", ""row_index"": 32, ""source_category"": ""科技与编程"", ""source_name"": ""🔔科技频道[奇诺分享-ccino.org]⚡️"", ""xml_url"": ""https://channel.ccino.org/rss.xml""}",27,🔔科技频道[奇诺分享-ccino.org]⚡️,科技与编程,,https://channel.ccino.org/rss.xml,https://channel.ccino.org/rss.xml,docker-host,True,success,until_existing,old_source_no_anchor,True,20,20,False,,20,"This source has history in DB but no existing item was found within probe_limit=20. Processing first 20 items (old_source_no_anchor_limit=20). Possible causes: high-frequency updates, guid/url changes, RSSHub route changes, or dedupe rule changes.",20,20,0,20,6,unknown,0,0,20,0,,,2.506,,,333.093,merged,20.0,,4.484,0.402,0.003,0.02,4.481,0.382,340.567
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3279284299.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom"", ""row_index"": 33, ""source_category"": ""微信公众号"", ""source_name"": ""猴猴说话"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom""}",28,猴猴说话,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom,http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom,http://host.docker.internal:8003/feed/MP_WXS_3279284299.atom,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.478,,,,merged,,,0,0,0,0,0,0,0.811
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3239649460.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom"", ""row_index"": 34, ""source_category"": ""微信公众号"", ""source_name"": ""潦草学者"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom""}",29,潦草学者,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom,http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom,http://host.docker.internal:8003/feed/MP_WXS_3239649460.atom,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.223,,,,merged,,,0,0,0,0,0,0,0.389
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3015646136.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom"", ""row_index"": 35, ""source_category"": ""微信公众号"", ""source_name"": ""L先生说"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom""}",30,L先生说,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom,http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom,http://host.docker.internal:8003/feed/MP_WXS_3015646136.atom,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.494,,,,merged,,,0,0,0,0,0,0,0.906
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3944297233.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom"", ""row_index"": 36, ""source_category"": ""微信公众号"", ""source_name"": ""常青说"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom""}",31,常青说,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom,http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom,http://host.docker.internal:8003/feed/MP_WXS_3944297233.atom,docker-host,True,success,until_existing,until_existing_anchor_found,True,20,1,True,0,0,,0,0,0,0,0,unknown,0,0,0,0,,,0.028,,,,merged,,,0,0,0,0,0,0,0.032
