source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message
"{""feed_url"": ""https://diygod.cc/feed"", ""local_xml_url"": """", ""row_index"": 2, ""source_category"": ""Articles"", ""source_name"": ""Hi, DIYgod"", ""xml_url"": ""https://diygod.cc/feed""}",1,"Hi, DIYgod",Articles,,https://diygod.cc/feed,https://diygod.cc/feed,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://tanscp.com/feed/"", ""local_xml_url"": """", ""row_index"": 3, ""source_category"": ""Articles"", ""source_name"": ""tanscp"", ""xml_url"": ""https://tanscp.com/feed/""}",2,tanscp,Articles,,https://tanscp.com/feed/,https://tanscp.com/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://ursb.me/blog/feed.xml"", ""local_xml_url"": """", ""row_index"": 4, ""source_category"": ""Articles"", ""source_name"": ""Airing 的博客"", ""xml_url"": ""https://ursb.me/blog/feed.xml""}",3,Airing 的博客,Articles,,https://ursb.me/blog/feed.xml,https://ursb.me/blog/feed.xml,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://rolen.wiki/feed/"", ""local_xml_url"": """", ""row_index"": 5, ""source_category"": ""个人博客-人生"", ""source_name"": ""Rolen's Blog"", ""xml_url"": ""https://rolen.wiki/feed/""}",4,Rolen's Blog,个人博客-人生,,https://rolen.wiki/feed/,https://rolen.wiki/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://bens.love/feed"", ""local_xml_url"": """", ""row_index"": 6, ""source_category"": ""个人博客-人生"", ""source_name"": ""Ben's Love"", ""xml_url"": ""https://bens.love/feed""}",5,Ben's Love,个人博客-人生,,https://bens.love/feed,https://bens.love/feed,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://mobius.blog/feed/"", ""local_xml_url"": """", ""row_index"": 7, ""source_category"": ""个人博客-人生"", ""source_name"": ""莫比乌斯"", ""xml_url"": ""https://mobius.blog/feed/""}",6,莫比乌斯,个人博客-人生,,https://mobius.blog/feed/,https://mobius.blog/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://blog.bxaw.name/feed/"", ""local_xml_url"": """", ""row_index"": 8, ""source_category"": ""个人博客-人生"", ""source_name"": ""白熊阿丸的小屋"", ""xml_url"": ""https://blog.bxaw.name/feed/""}",7,白熊阿丸的小屋,个人博客-人生,,https://blog.bxaw.name/feed/,https://blog.bxaw.name/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml"", ""local_xml_url"": """", ""row_index"": 9, ""source_category"": ""个人博客-人生"", ""source_name"": ""草稿拾遗"", ""xml_url"": ""https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml""}",8,草稿拾遗,个人博客-人生,,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,https://kill-the-newsletter.com/feeds/t87xbbj6p4iwfhsi.xml,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"""timed out"""
"{""feed_url"": ""http://host.docker.internal:1200/douban/group/699356/essence"", ""local_xml_url"": ""http://127.0.0.1:1200/douban/group/699356/essence"", ""row_index"": 12, ""source_category"": ""Articles"", ""source_name"": ""豆瓣小组-无用美学"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence""}",11,豆瓣小组-无用美学,Articles,http://127.0.0.1:1200/douban/group/699356/essence,https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence,http://host.docker.internal:1200/douban/group/699356/essence,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,timeout,"{""detail"": ""timed out""}"
"{""feed_url"": ""https://www.yuhenm.top/feed/"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""Articles"", ""source_name"": ""StarYuhen"", ""xml_url"": ""https://www.yuhenm.top/feed/""}",12,StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,unknown,"{""detail"": ""HTTP Error 403: Forbidden""}"
